Species ID,Family,Genus,Species,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,JoinScience,JoinScience2,JoinScience2Alt
18868,FELIDAE,Puma,concolor,Felis concolor,"Puma, Mountain Lion, Cougar, Red Tiger, Deer Tiger",,"León Americano, León Bayo, León Colorado, León De Montaña, Mitzli, Onza Bermeja",LC,,3.1,2015,decreasing,N,Puma concolor,"""Puma concolor""","""Felis concolor"""
5674,HYAENIDAE,Crocuta,crocuta,,Spotted Hyaena,,,LC,,3.1,2015,decreasing,N,Crocuta crocuta,"""Crocuta crocuta""",
10274,HYAENIDAE,Hyaena,hyaena,,Striped Hyaena,Hyène rayée,Hiena Rayada,NT,,3.1,2015,decreasing,N,Hyaena hyaena,"""Hyaena hyaena""",
10276,HYAENIDAE,Parahyaena,brunnea,Hyaena brunnea,Brown Hyaena,,,NT,,3.1,2015,stable,N,Parahyaena brunnea,"""Parahyaena brunnea""","""Hyaena brunnea"""
18372,HYAENIDAE,Proteles,cristata,Proteles cristatus  ,Aardwolf,Protèle,Lobo de Tierra,LC,,3.1,2015,stable,N,Proteles cristata,"""Proteles cristata""","""Proteles cristatus  """
712,URSIDAE,Ailuropoda,melanoleuca,Ursus melanoleucus,Giant Panda,Panda géant,Panda Gigante,VU,C2a(i); D1,3.1,2016,increasing,N,Ailuropoda melanoleuca,"""Ailuropoda melanoleuca""","""Ursus melanoleucus"""
9760,URSIDAE,Helarctos,malayanus,Ursus malayanus,"Sun Bear, Malayan Sun Bear","Ours Malais, Ours des cocotiers","Oso de Sol, Oso Malayo",VU,A2cd+3cd+4cd,3.1,2008,decreasing,N,Helarctos malayanus,"""Helarctos malayanus""","""Ursus malayanus"""
13143,URSIDAE,Melursus,ursinus,Bradypus ursinus,Sloth Bear,"Ours prochile lippu, Ours lippu de l'Inde",Oso Perezoso,VU,A3c,3.1,2016,decreasing,N,Melursus ursinus,"""Melursus ursinus""","""Bradypus ursinus"""
22066,URSIDAE,Tremarctos,ornatus,Ursus ornatus,"Spectacled Bear, Andean Bear","Ours Andin, Ours à lunettes","Oso de Anteojos, Oso Frontino, Oso Real",VU,A4cd,3.1,2008,decreasing,N,Tremarctos ornatus,"""Tremarctos ornatus""","""Ursus ornatus"""
41687,URSIDAE,Ursus,americanus,,American Black Bear,Ours noir d'Amérique,Oso negro americano,LC,,3.1,2016,increasing,N,Ursus americanus,"""Ursus americanus""",
41688,URSIDAE,Ursus,arctos,,"Brown Bear, Grizzly Bear",Ours brun,Oso Pardo,LC,,3.1,2016,stable,N,Ursus arctos,"""Ursus arctos""",
22823,URSIDAE,Ursus,maritimus,Thalarctos maritimus  ,Polar Bear,"Ours polaire, Ours blanc",Oso Polar,VU,A3c,3.1,2015,unknown,N,Ursus maritimus,"""Ursus maritimus""","""Thalarctos maritimus  """
22824,URSIDAE,Ursus,thibetanus,,"Asiatic Black Bear, Himalayan Black Bear","Ours du Tibet, Ours à collier, Ours de l'Himalaya, Ours noir d'Asie","Oso de Collar, Oso Negro de Asia",VU,A2cd,3.1,2016,decreasing,N,Ursus thibetanus,"""Ursus thibetanus""",
